ORIGIN,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
ISP,5081.0,10.719409282700422,323.0,0.6814345991561181,2169.0,4.575949367088608,1426.0,3.0084388185654007,0.0,0.0,1163.0,2.4535864978902953
ACV,5064.0,39.25581395348837,0.0,0.0,1518.0,11.767441860465116,2353.0,18.24031007751938,0.0,0.0,1193.0,9.248062015503876
DLH,5040.0,28.0,1469.0,8.161111111111111,1298.0,7.211111111111111,687.0,3.816666666666667,0.0,0.0,1586.0,8.811111111111112
TVC,4975.0,21.536796536796537,333.0,1.4415584415584415,1494.0,6.467532467532467,573.0,2.4805194805194803,0.0,0.0,2575.0,11.147186147186147
PGD,4961.0,11.728132387706856,147.0,0.3475177304964539,1116.0,2.6382978723404253,906.0,2.141843971631206,0.0,0.0,2792.0,6.60047281323877
SWF,4860.0,40.84033613445378,0.0,0.0,1425.0,11.974789915966387,404.0,3.3949579831932772,0.0,0.0,3031.0,25.470588235294116
STT,4847.0,13.888252148997134,190.0,0.5444126074498568,833.0,2.3868194842406876,526.0,1.507163323782235,0.0,0.0,3298.0,9.449856733524355
SHV,4838.0,9.375968992248062,599.0,1.1608527131782946,1051.0,2.0368217054263567,1099.0,2.12984496124031,0.0,0.0,2089.0,4.0484496124031
CAE,4773.0,7.6368,21.0,0.0336,1128.0,1.8048,1080.0,1.728,0.0,0.0,2544.0,4.0704
BIS,4596.0,15.90311418685121,1048.0,3.6262975778546713,581.0,2.01038062283737,479.0,1.657439446366782,104.0,0.35986159169550175,2384.0,8.249134948096886
CMI,4566.0,22.38235294117647,1494.0,7.323529411764706,1807.0,8.857843137254902,482.0,2.3627450980392157,0.0,0.0,783.0,3.838235294117647
LFT,4433.0,10.605263157894736,151.0,0.361244019138756,791.0,1.8923444976076556,1081.0,2.5861244019138754,23.0,0.05502392344497608,2387.0,5.7105263157894735
MHT,4331.0,7.019448946515397,0.0,0.0,1109.0,1.7974068071312803,1297.0,2.1021069692058347,0.0,0.0,1925.0,3.119935170178282
VPS,4290.0,8.68421052631579,561.0,1.1356275303643724,342.0,0.6923076923076923,647.0,1.3097165991902835,0.0,0.0,2740.0,5.5465587044534415
MOB,4261.0,9.728310502283104,93.0,0.21232876712328766,1396.0,3.1872146118721463,907.0,2.0707762557077625,0.0,0.0,1865.0,4.257990867579909
MRY,4093.0,11.213698630136987,0.0,0.0,719.0,1.9698630136986301,1233.0,3.378082191780822,0.0,0.0,2141.0,5.865753424657535
JNU,4075.0,12.694704049844237,284.0,0.8847352024922118,983.0,3.0623052959501558,1064.0,3.3146417445482865,0.0,0.0,1744.0,5.433021806853582
BGR,3871.0,20.373684210526317,0.0,0.0,649.0,3.4157894736842107,1825.0,9.605263157894736,0.0,0.0,1397.0,7.352631578947369
TTN,3845.0,18.848039215686274,0.0,0.0,1338.0,6.5588235294117645,946.0,4.637254901960785,0.0,0.0,1561.0,7.651960784313726
MGM,3825.0,12.966101694915254,4.0,0.013559322033898305,1524.0,5.1661016949152545,774.0,2.623728813559322,2.0,0.006779661016949152,1521.0,5.15593220338983
AZO,3712.0,25.25170068027211,307.0,2.0884353741496597,1788.0,12.16326530612245,546.0,3.7142857142857144,0.0,0.0,1071.0,7.285714285714286
IMT,3675.0,63.36206896551724,0.0,0.0,2265.0,39.05172413793103,94.0,1.6206896551724137,0.0,0.0,1316.0,22.689655172413794
FNT,3661.0,13.075,13.0,0.04642857142857143,1042.0,3.7214285714285715,840.0,3.0,9.0,0.03214285714285714,1757.0,6.275
DRO,3640.0,15.294117647058824,354.0,1.4873949579831933,1099.0,4.617647058823529,949.0,3.9873949579831933,0.0,0.0,1238.0,5.201680672268908
