DEST,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
KTN,2272.0,12.836158192090396,137.0,0.7740112994350282,1016.0,5.740112994350283,298.0,1.6836158192090396,0.0,0.0,821.0,4.638418079096045
SCE,2268.0,25.2,64.0,0.7111111111111111,846.0,9.4,299.0,3.3222222222222224,0.0,0.0,1059.0,11.766666666666667
AEX,2257.0,8.81640625,56.0,0.21875,1454.0,5.6796875,251.0,0.98046875,0.0,0.0,496.0,1.9375
SAF,2225.0,19.517543859649123,0.0,0.0,1744.0,15.298245614035087,164.0,1.4385964912280702,0.0,0.0,317.0,2.780701754385965
MMH,2185.0,23.49462365591398,116.0,1.2473118279569892,441.0,4.741935483870968,566.0,6.086021505376344,0.0,0.0,1062.0,11.419354838709678
SPI,2165.0,16.782945736434108,72.0,0.5581395348837209,912.0,7.069767441860465,233.0,1.806201550387597,0.0,0.0,948.0,7.348837209302325
BMI,2077.0,8.914163090128755,204.0,0.8755364806866953,280.0,1.201716738197425,516.0,2.2145922746781115,0.0,0.0,1077.0,4.622317596566524
CGI,2056.0,26.025316455696203,194.0,2.4556962025316458,565.0,7.151898734177215,229.0,2.8987341772151898,0.0,0.0,1068.0,13.518987341772151
AZO,2042.0,13.797297297297296,429.0,2.8986486486486487,629.0,4.25,431.0,2.9121621621621623,0.0,0.0,553.0,3.7364864864864864
FLG,2034.0,17.384615384615383,0.0,0.0,1219.0,10.418803418803419,161.0,1.376068376068376,0.0,0.0,654.0,5.589743589743589
LAW,1991.0,18.961904761904762,9.0,0.08571428571428572,1156.0,11.00952380952381,241.0,2.295238095238095,0.0,0.0,585.0,5.571428571428571
GCK,1981.0,31.951612903225808,1278.0,20.612903225806452,103.0,1.6612903225806452,21.0,0.3387096774193548,0.0,0.0,579.0,9.338709677419354
PSC,1959.0,13.893617021276595,133.0,0.9432624113475178,601.0,4.26241134751773,203.0,1.4397163120567376,0.0,0.0,1022.0,7.24822695035461
FAY,1914.0,7.25,81.0,0.3068181818181818,641.0,2.428030303030303,229.0,0.8674242424242424,0.0,0.0,963.0,3.647727272727273
LAR,1835.0,33.98148148148148,737.0,13.648148148148149,777.0,14.38888888888889,125.0,2.314814814814815,0.0,0.0,196.0,3.6296296296296298
UIN,1813.0,30.728813559322035,0.0,0.0,966.0,16.372881355932204,271.0,4.593220338983051,0.0,0.0,576.0,9.76271186440678
MSO,1813.0,8.511737089201878,449.0,2.107981220657277,332.0,1.5586854460093897,432.0,2.028169014084507,0.0,0.0,600.0,2.816901408450704
BJI,1805.0,29.112903225806452,1235.0,19.919354838709676,274.0,4.419354838709677,81.0,1.3064516129032258,0.0,0.0,215.0,3.467741935483871
MLU,1803.0,7.705128205128205,45.0,0.19230769230769232,784.0,3.3504273504273505,240.0,1.0256410256410255,0.0,0.0,734.0,3.1367521367521367
ORH,1707.0,18.35483870967742,50.0,0.5376344086021505,1231.0,13.236559139784946,78.0,0.8387096774193549,0.0,0.0,348.0,3.7419354838709675
GJT,1653.0,5.8,8.0,0.028070175438596492,669.0,2.3473684210526318,346.0,1.2140350877192982,0.0,0.0,630.0,2.210526315789474
RKS,1626.0,26.225806451612904,788.0,12.709677419354838,142.0,2.2903225806451615,56.0,0.9032258064516129,0.0,0.0,640.0,10.32258064516129
SGU,1620.0,5.382059800664452,28.0,0.09302325581395349,597.0,1.9833887043189369,386.0,1.282392026578073,0.0,0.0,609.0,2.0232558139534884
OAJ,1611.0,6.148854961832061,42.0,0.16030534351145037,578.0,2.2061068702290076,342.0,1.3053435114503817,0.0,0.0,649.0,2.4770992366412212
ROA,1570.0,7.476190476190476,61.0,0.2904761904761905,622.0,2.961904761904762,215.0,1.0238095238095237,37.0,0.1761904761904762,635.0,3.0238095238095237
EAU,1563.0,25.20967741935484,0.0,0.0,518.0,8.35483870967742,288.0,4.645161290322581,0.0,0.0,757.0,12.209677419354838
LRD,1546.0,8.010362694300518,4.0,0.02072538860103627,781.0,4.046632124352332,164.0,0.8497409326424871,0.0,0.0,597.0,3.093264248704663
CKB,1541.0,23.0,33.0,0.4925373134328358,725.0,10.82089552238806,156.0,2.328358208955224,0.0,0.0,627.0,9.35820895522388
FCA,1507.0,7.728205128205128,124.0,0.6358974358974359,363.0,1.8615384615384616,290.0,1.4871794871794872,0.0,0.0,730.0,3.7435897435897436
PLN,1500.0,20.0,992.0,13.226666666666667,218.0,2.9066666666666667,57.0,0.76,0.0,0.0,233.0,3.1066666666666665
AVP,1476.0,6.227848101265823,72.0,0.3037974683544304,329.0,1.3881856540084387,288.0,1.2151898734177216,0.0,0.0,787.0,3.320675105485232
AGS,1475.0,4.338235294117647,0.0,0.0,857.0,2.5205882352941176,157.0,0.46176470588235297,0.0,0.0,461.0,1.3558823529411765
CIU,1464.0,25.24137931034483,796.0,13.724137931034482,327.0,5.637931034482759,100.0,1.7241379310344827,0.0,0.0,241.0,4.155172413793103
ABR,1446.0,23.322580645161292,565.0,9.112903225806452,703.0,11.338709677419354,46.0,0.7419354838709677,0.0,0.0,132.0,2.129032258064516
IMT,1427.0,24.603448275862068,873.0,15.051724137931034,310.0,5.344827586206897,5.0,0.08620689655172414,0.0,0.0,239.0,4.120689655172414
