ROUTE_BETWEEN_CITIES,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
"Nashville, TN -> St. Petersburg, FL",2025.0,19.471153846153847,99.0,0.9519230769230769,873.0,8.39423076923077,249.0,2.394230769230769,0.0,0.0,804.0,7.730769230769231
"Oakland, CA -> Atlanta, GA",2023.0,4.205821205821206,0.0,0.0,1077.0,2.239085239085239,410.0,0.8523908523908524,17.0,0.035343035343035345,519.0,1.079002079002079
"Denver, CO -> Monterey, CA",2022.0,13.04516129032258,152.0,0.9806451612903225,311.0,2.0064516129032257,184.0,1.1870967741935483,0.0,0.0,1375.0,8.870967741935484
"San Antonio, TX -> Kansas City, MO",2022.0,5.982248520710059,0.0,0.0,717.0,2.121301775147929,323.0,0.9556213017751479,0.0,0.0,982.0,2.905325443786982
"Atlanta, GA -> Charlotte Amalie, VI",2022.0,4.424507658643326,63.0,0.13785557986870897,1121.0,2.4529540481400436,580.0,1.2691466083150984,0.0,0.0,258.0,0.5645514223194749
"South Bend, IN -> Phoenix, AZ",2020.0,19.238095238095237,65.0,0.6190476190476191,391.0,3.723809523809524,267.0,2.5428571428571427,0.0,0.0,1297.0,12.352380952380953
"Lexington, KY -> St. Petersburg, FL",2020.0,13.557046979865772,601.0,4.033557046979865,424.0,2.8456375838926173,230.0,1.5436241610738255,29.0,0.19463087248322147,736.0,4.939597315436242
"Provo, UT -> Tucson, AZ",2016.0,19.384615384615383,54.0,0.5192307692307693,1673.0,16.08653846153846,65.0,0.625,0.0,0.0,224.0,2.1538461538461537
"Charleston, SC -> Pittsburgh, PA",1996.0,21.23404255319149,311.0,3.3085106382978724,629.0,6.691489361702128,415.0,4.414893617021277,0.0,0.0,641.0,6.819148936170213
"Las Vegas, NV -> Mission/McAllen/Edinburg, TX",1995.0,5.305851063829787,181.0,0.48138297872340424,571.0,1.5186170212765957,750.0,1.9946808510638299,0.0,0.0,493.0,1.3111702127659575
"Nashville, TN -> Syracuse, NY",1991.0,20.11111111111111,0.0,0.0,1095.0,11.06060606060606,67.0,0.6767676767676768,0.0,0.0,829.0,8.373737373737374
"Punta Gorda, FL -> Columbus, OH",1988.0,11.168539325842696,554.0,3.1123595505617976,799.0,4.48876404494382,206.0,1.1573033707865168,0.0,0.0,429.0,2.4101123595505616
"Colorado Springs, CO -> Orlando, FL",1987.0,11.225988700564972,68.0,0.384180790960452,857.0,4.84180790960452,629.0,3.553672316384181,0.0,0.0,433.0,2.446327683615819
"Allentown/Bethlehem/Easton, PA -> Nashville, TN",1986.0,29.64179104477612,105.0,1.5671641791044777,621.0,9.26865671641791,173.0,2.582089552238806,0.0,0.0,1087.0,16.223880597014926
"Saginaw/Bay City/Midland, MI -> Minneapolis, MN",1985.0,6.844827586206897,646.0,2.2275862068965515,614.0,2.117241379310345,341.0,1.1758620689655173,0.0,0.0,384.0,1.3241379310344827
"Albuquerque, NM -> San Jose, CA",1977.0,11.494186046511627,17.0,0.09883720930232558,1150.0,6.686046511627907,22.0,0.12790697674418605,39.0,0.22674418604651161,749.0,4.354651162790698
"Anchorage, AK -> Phoenix, AZ",1974.0,9.87,0.0,0.0,559.0,2.795,262.0,1.31,0.0,0.0,1153.0,5.765
