ORIGIN,SUM OF ALL DELAYS,AVERAGE OF ALL DELAYS,MIN OF ALL DELAYS,MAX OF ALL DELAYS,SUM OF WEATHER DELAY,AVERAGE OF WEATHER DELAY,MIN OF WEATHER DELAY,MAX OF WEATHER DELAY,SUM OF CARRIER DELAY,AVERAGE OF CARRIER DELAY,MIN OF CARRIER DELAY,MAX OF CARRIER DELAY,SUM OF NAS DELAY,AVERAGE OF NAS DELAY,MIN OF NAS DELAY,MAX OF NAS DELAY,SUM OF SECURITY DELAY,AVERAGE OF SECURITY DELAY,MIN OF SECURITY DELAY,MAX OF SECURITY DELAY,SUM OF LATE AIRCRAFT DELAY,AVERAGE OF LATE AIRCRAFT DELAY,MIN OF LATE AIRCRAFT DELAY,MAX OF LATE AIRCRAFT DELAY
ORH,28994.0,23.38225806451613,0.0,817.0,857.0,0.6911290322580645,0.0,332.0,12403.0,10.00241935483871,0.0,817.0,2938.0,2.3693548387096772,0.0,128.0,18.0,0.014516129032258065,0.0,11.0,12778.0,10.30483870967742,0.0,484.0
STS,28882.0,10.575613328451118,0.0,1035.0,1231.0,0.4507506407909191,0.0,236.0,12229.0,4.4778469425119,0.0,824.0,3543.0,1.297326986451849,0.0,207.0,340.0,0.12449652142072501,0.0,55.0,11539.0,4.225192237275723,0.0,352.0
USA,28038.0,20.450765864332602,0.0,1425.0,1554.0,1.1334792122538293,0.0,257.0,7375.0,5.3792851932895696,0.0,1425.0,4854.0,3.5404814004376366,0.0,164.0,39.0,0.028446389496717725,0.0,25.0,14216.0,10.36907366885485,0.0,376.0
PBG,28014.0,20.598529411764705,0.0,1164.0,866.0,0.6367647058823529,0.0,161.0,15252.0,11.214705882352941,0.0,1152.0,4225.0,3.1066176470588234,0.0,370.0,0.0,0.0,0.0,0.0,7671.0,5.640441176470588,0.0,308.0
GFK,27696.0,13.107430194036914,0.0,1020.0,5569.0,2.6355892096545195,0.0,979.0,9700.0,4.590629436819688,0.0,694.0,3108.0,1.47089446284903,0.0,143.0,167.0,0.07903454803596782,0.0,141.0,9152.0,4.331282536677709,0.0,393.0
PAE,27638.0,17.01847290640394,0.0,999.0,565.0,0.3479064039408867,0.0,253.0,5140.0,3.165024630541872,0.0,994.0,14162.0,8.720443349753694,0.0,381.0,2.0,0.0012315270935960591,0.0,2.0,7769.0,4.7838669950738915,0.0,479.0
ACY,27362.0,8.786769428387926,0.0,824.0,538.0,0.17276814386640976,0.0,197.0,6350.0,2.0391779062299293,0.0,431.0,11909.0,3.8243416827231855,0.0,658.0,0.0,0.0,0.0,0.0,8565.0,2.750481695568401,0.0,610.0
PHF,27095.0,10.790521704500199,0.0,905.0,1771.0,0.7052966945440063,0.0,218.0,7594.0,3.024293110314616,0.0,905.0,2861.0,1.1393866985264836,0.0,229.0,65.0,0.025886101154918358,0.0,65.0,14804.0,5.8956590999601755,0.0,415.0
HDN,26779.0,24.70387453874539,0.0,1431.0,663.0,0.6116236162361623,0.0,158.0,11144.0,10.280442804428045,0.0,1346.0,4839.0,4.464022140221402,0.0,221.0,0.0,0.0,0.0,0.0,10133.0,9.347785977859779,0.0,539.0
EWN,26760.0,11.348600508905852,0.0,873.0,2280.0,0.9669211195928753,0.0,314.0,6942.0,2.9440203562340965,0.0,462.0,1900.0,0.8057675996607294,0.0,112.0,0.0,0.0,0.0,0.0,15638.0,6.631891433418151,0.0,869.0
SUX,26642.0,19.80817843866171,0.0,2050.0,3955.0,2.940520446096654,0.0,324.0,7685.0,5.713754646840148,0.0,1058.0,5640.0,4.193308550185874,0.0,337.0,59.0,0.04386617100371747,0.0,36.0,9303.0,6.916728624535316,0.0,1082.0
DAB,26568.0,8.026586102719033,0.0,489.0,2841.0,0.8583081570996979,0.0,489.0,6123.0,1.8498489425981872,0.0,411.0,4173.0,1.260725075528701,0.0,195.0,254.0,0.07673716012084592,0.0,118.0,13177.0,3.9809667673716014,0.0,415.0
SLN,26474.0,28.223880597014926,0.0,1275.0,523.0,0.5575692963752665,0.0,180.0,11634.0,12.402985074626866,0.0,1254.0,5691.0,6.067164179104478,0.0,982.0,0.0,0.0,0.0,0.0,8626.0,9.196162046908315,0.0,396.0
FAI,26109.0,5.52805420283718,0.0,1076.0,372.0,0.07876349777683675,0.0,106.0,9405.0,1.9913190768579292,0.0,1062.0,4159.0,0.8805843743383442,0.0,92.0,58.0,0.012280330298539064,0.0,24.0,12115.0,2.5651069235655304,0.0,369.0
PLN,25345.0,23.316467341306346,0.0,1193.0,3706.0,3.409383624655014,0.0,660.0,8084.0,7.436982520699172,0.0,1193.0,1571.0,1.4452621895124196,0.0,722.0,121.0,0.11131554737810488,0.0,65.0,11863.0,10.913523459061638,0.0,513.0
BLV,25021.0,24.60275319567355,0.0,1293.0,3982.0,3.915437561455261,0.0,936.0,8870.0,8.72173058013766,0.0,1293.0,1700.0,1.671583087512291,0.0,115.0,9.0,0.008849557522123894,0.0,9.0,10460.0,10.285152409046214,0.0,747.0
MLB,24923.0,9.519862490450725,0.0,929.0,1810.0,0.6913674560733384,0.0,282.0,9227.0,3.524446142093201,0.0,929.0,4352.0,1.6623376623376624,0.0,240.0,0.0,0.0,0.0,0.0,9534.0,3.641711229946524,0.0,299.0
JLN,24501.0,17.67748917748918,0.0,762.0,3557.0,2.5663780663780664,0.0,761.0,5744.0,4.144300144300145,0.0,512.0,5558.0,4.01010101010101,0.0,203.0,21.0,0.015151515151515152,0.0,17.0,9621.0,6.941558441558442,0.0,330.0
