TAIL_NUM,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
N433AS,349.0,4.058139534883721,74.0,0.8604651162790697,79.0,0.9186046511627907,196.0,2.2790697674418605,0.0,0.0,0.0,0.0
N665DN,349.0,8.30952380952381,0.0,0.0,30.0,0.7142857142857143,253.0,6.023809523809524,0.0,0.0,66.0,1.5714285714285714
N68834,349.0,3.3883495145631066,26.0,0.2524271844660194,102.0,0.9902912621359223,182.0,1.766990291262136,0.0,0.0,39.0,0.3786407766990291
N569NN,348.0,1.8810810810810812,0.0,0.0,124.0,0.6702702702702703,106.0,0.572972972972973,0.0,0.0,118.0,0.6378378378378379
N8312C,347.0,2.4964028776978417,0.0,0.0,185.0,1.330935251798561,51.0,0.3669064748201439,0.0,0.0,111.0,0.7985611510791367
N586AS,347.0,4.08235294117647,0.0,0.0,48.0,0.5647058823529412,176.0,2.070588235294118,0.0,0.0,123.0,1.4470588235294117
N581AS,347.0,3.9885057471264367,0.0,0.0,31.0,0.3563218390804598,205.0,2.3563218390804597,0.0,0.0,111.0,1.2758620689655173
N8308K,347.0,3.043859649122807,0.0,0.0,112.0,0.9824561403508771,184.0,1.6140350877192982,0.0,0.0,51.0,0.4473684210526316
N142AN,347.0,4.819444444444445,18.0,0.25,142.0,1.9722222222222223,80.0,1.1111111111111112,0.0,0.0,107.0,1.4861111111111112
N7854B,346.0,2.096969696969697,0.0,0.0,146.0,0.8848484848484849,45.0,0.2727272727272727,0.0,0.0,155.0,0.9393939393939394
N819DN,346.0,4.168674698795181,29.0,0.3493975903614458,73.0,0.8795180722891566,176.0,2.1204819277108435,0.0,0.0,68.0,0.8192771084337349
N778UA,345.0,7.1875,0.0,0.0,98.0,2.0416666666666665,184.0,3.8333333333333335,0.0,0.0,63.0,1.3125
N374DA,345.0,4.6,0.0,0.0,33.0,0.44,141.0,1.88,0.0,0.0,171.0,2.28
N364NW,345.0,3.556701030927835,21.0,0.21649484536082475,52.0,0.5360824742268041,202.0,2.082474226804124,0.0,0.0,70.0,0.7216494845360825
N343AN,345.0,12.321428571428571,8.0,0.2857142857142857,110.0,3.9285714285714284,214.0,7.642857142857143,0.0,0.0,13.0,0.4642857142857143
N863NN,345.0,5.3076923076923075,47.0,0.7230769230769231,46.0,0.7076923076923077,67.0,1.0307692307692307,0.0,0.0,185.0,2.8461538461538463
N565AS,344.0,4.047058823529412,99.0,1.1647058823529413,19.0,0.2235294117647059,130.0,1.5294117647058822,0.0,0.0,96.0,1.1294117647058823
N557AS,344.0,4.246913580246914,137.0,1.691358024691358,7.0,0.08641975308641975,92.0,1.1358024691358024,0.0,0.0,108.0,1.3333333333333333
N830NW,344.0,10.117647058823529,0.0,0.0,115.0,3.3823529411764706,141.0,4.147058823529412,0.0,0.0,88.0,2.588235294117647
N6703D,343.0,5.913793103448276,0.0,0.0,237.0,4.086206896551724,45.0,0.7758620689655172,0.0,0.0,61.0,1.0517241379310345
N6712B,342.0,3.6774193548387095,0.0,0.0,204.0,2.193548387096774,67.0,0.7204301075268817,0.0,0.0,71.0,0.7634408602150538
N260AK,342.0,3.8863636363636362,0.0,0.0,103.0,1.1704545454545454,217.0,2.465909090909091,7.0,0.07954545454545454,15.0,0.17045454545454544
N89313,342.0,2.9482758620689653,0.0,0.0,209.0,1.8017241379310345,16.0,0.13793103448275862,0.0,0.0,117.0,1.0086206896551724
